sensor ts value
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-27 03:42:36" 325
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-02 03:42:59" 455
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-03 03:42:23" 445
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-04 03:38:59" 429
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-05 03:41:59" 395
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-06 03:37:10" 290
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-07 03:42:43" 420
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-08 03:42:11" 375
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-09 03:43:21" 1775
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-10 03:39:56" 410
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-11 03:41:53" 254
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-12 03:39:59" 540
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-13 03:42:04" 590
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-14 03:42:10" 525
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-15 03:40:35" 545
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-16 03:42:20" 555
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-17 03:41:45" 1520
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-18 03:41:53" 1395
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-19 03:43:48" 1080
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-20 03:42:52" 1045
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-21 03:41:43" 675
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-22 03:40:39" 1465
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-24 03:42:13" 345
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-25 03:42:55" 225
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-26 03:44:04" 280
/qct/qexa-20/cocos/calibration/QB10/error_1_0 "2025-08-27 03:42:36" 335
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-02 03:42:59" 9988
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-03 03:42:23" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-04 03:38:59" 9986
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-05 03:41:59" 9981
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-06 03:37:10" 9987
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-07 03:42:43" 9969
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-08 03:42:11" 9985
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-09 03:43:21" 9985
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-10 03:39:56" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-11 03:41:53" 9990
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-12 03:39:59" 9801
